,time,age,round,game_id,text,attacker,war,target
31,2020-06-04 08:41:57,III,13,7477184,Green declares War over Technology on Orange#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Green uses 2 military action #,Green,Technology,Orange
32,2020-06-04 08:17:05,II,13,7477184,Orange declares War over Technology on Grey#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Orange uses 2 military action #,Orange,Technology,Grey
33,2020-06-03 23:39:39,II,12,7477184,Green declares War over Territory on Orange#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Green uses 2 military action #,Green,Territory,Orange
34,2020-06-09 09:30:05,III,16,7477255,Orange declares War over Culture on Green#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 3 military action #,Orange,Culture,Green
35,2020-06-09 09:23:37,III,15,7477255,Grey declares War over Culture on Green#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Green
36,2020-06-08 17:29:06,III,13,7477255,Grey declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Orange
37,2020-06-15 11:43:36,III,16,7477545,Orange declares War over Culture on Purple#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 3 military action #,Orange,Culture,Purple
38,2020-06-14 09:43:56,III,13,7477545,Green declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Grey
39,2020-06-12 10:11:21,II,12,7477545,Orange declares War over Territory on Grey#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Orange uses 2 military action #,Orange,Territory,Grey
40,2020-06-17 10:54:35,III,17,7477831,Green declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Orange
41,2020-06-17 10:46:08,III,17,7477831,Purple declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Orange
42,2020-06-17 10:19:22,III,16,7477831,Green declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Grey
43,2020-06-16 15:13:30,II,10,7477831,Green declares War over Technology on Orange#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Green uses 2 military action #,Green,Technology,Orange
44,2020-06-21 21:42:31,IV,18,7477939,Grey declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Purple
45,2020-06-21 12:05:40,III,16,7477939,Orange declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Purple
46,2020-06-19 16:29:32,III,14,7477939,Grey declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Purple
47,2020-06-18 17:31:20,III,13,7477939,Grey declares War over Territory on Purple#The victor takes 1 yellow token plus 1 yellow token for every 3 point of strength advantage from the defeated civilization's yellow bank. 3 military actions used #,Grey,Territory,Purple
48,2020-06-18 13:59:05,II,11,7477939,Grey declares War over Technology on Purple#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. 2 military actions used #,Grey,Technology,Purple
49,2020-06-26 12:58:06,III,19,7478280,Orange declares War over Culture on Grey#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Grey
50,2020-07-28 22:50:39,IV,19,7479593,Grey declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Green
51,2020-07-28 12:54:22,III,18,7479593,Orange declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Purple
52,2020-07-27 13:25:24,III,13,7479593,Grey declares War over Territory on Purple#The victor takes 1 yellow token plus 1 yellow token for every 3 point of strength advantage from the defeated civilization's yellow bank. 3 military actions used #,Grey,Territory,Purple
53,2020-08-06 14:50:02,III,16,7479938,Grey declares War over Culture on Purple#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Purple
54,2020-08-14 09:51:12,III,16,7480536,Orange declares War over Culture on Purple#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 3 military action #,Orange,Culture,Purple
55,2020-08-14 09:29:00,III,15,7480536,Purple declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Grey
56,2020-08-13 16:55:19,III,13,7480536,Orange declares War over Territory on Purple#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Orange uses 2 military action #,Orange,Territory,Purple
57,2020-08-13 13:58:24,II,11,7480536,Orange declares War over Technology on Purple#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Orange uses 2 military action #,Orange,Technology,Purple
58,2020-08-19 10:09:22,IV,17,7480677,Grey declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Orange
59,2020-08-24 14:26:23,IV,16,7480887,Grey declares War over Culture on Purple#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Purple
60,2020-08-23 22:19:00,II,12,7480887,Purple declares War over Territory on Orange#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Purple uses 2 military action #,Purple,Territory,Orange
61,2020-09-01 08:59:04,III,16,7481117,Orange declares War over Culture on Green#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 6 military action #,Orange,Culture,Green
62,2020-08-28 17:06:03,II,11,7481117,Orange declares War over Territory on Green#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Orange uses 2 military action #,Orange,Territory,Green
63,2020-09-14 12:31:36,III,16,7481844,Purple declares War over Culture on Orange#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Purple,Culture,Orange
64,2020-09-14 11:07:21,III,15,7481844,Grey declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Green
65,2020-09-13 22:22:23,II,12,7481844,Orange declares War over Resources on Green#The victor takes a total number of resources/food equal to the strength advantage from the defeated civilization. 2 military actions used #,Orange,Resources,Green
66,2020-09-21 16:00:14,III,17,7482019,Grey declares War over Culture on Orange#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Orange
