,player,territory,bid,time,age,round,game_id,text
154,Orange,Developed Territory,5,2020-08-04 22:24:08,II,9,7479938,Orange wins Developed Territory#Winning bid is 5#
155,Orange,Wealthy Territory,4,2020-08-04 17:16:44,II,7,7479938,Orange wins Wealthy Territory#Winning bid is 4#
156,Purple,Inhabited Territory,5,2020-08-04 15:58:16,I,7,7479938,Purple wins Inhabited Territory#Winning bid is 5#
157,Orange,Strategic Territory,4,2020-08-04 14:54:50,I,6,7479938,Orange wins Strategic Territory#Winning bid is 4#
158,Purple,Historic Territory,4,2020-08-04 13:26:42,I,6,7479938,Purple wins Historic Territory#Winning bid is 4#
159,Grey,Strategic Territory,14,2020-08-11 14:19:55,III,17,7480288,Grey wins Strategic Territory#Winning bid is 14#
160,Grey,Inhabited Territory,12,2020-08-11 13:42:09,III,16,7480288,Grey wins Inhabited Territory#Winning bid is 12#
161,Orange,Wealthy Territory,15,2020-08-11 12:25:22,III,15,7480288,Orange wins Wealthy Territory#Winning bid is 15#
162,Grey,Vast Territory,9,2020-08-11 09:40:04,III,14,7480288,Grey wins Vast Territory#Winning bid is 9#
163,Orange,Developed Territory,7,2020-08-10 21:44:26,II,11,7480288,Orange wins Developed Territory#Winning bid is 7#
164,Grey,Vast Territory,7,2020-08-10 20:28:02,II,10,7480288,Grey wins Vast Territory#Winning bid is 7#
165,Grey,Wealthy Territory,4,2020-08-10 17:34:48,II,8,7480288,Grey wins Wealthy Territory#Winning bid is 4#
166,Orange,Inhabited Territory,3,2020-08-10 16:22:01,I,7,7480288,Orange wins Inhabited Territory#Winning bid is 3#
167,Purple,Historic Territory,2,2020-08-10 12:45:04,I,6,7480288,Purple wins Historic Territory#Winning bid is 2#
168,Grey,Historic Territory,5,2020-08-13 20:23:46,III,13,7480536,Grey wins Historic Territory#Winning bid is 5#
169,Green,Strategic Territory,4,2020-08-13 14:31:12,II,11,7480536,Green wins Strategic Territory#Winning bid is 4#
170,Orange,Developed Territory,4,2020-08-13 12:56:44,II,10,7480536,Orange wins Developed Territory#Winning bid is 4#
171,Orange,Historic Territory,3,2020-08-13 11:28:45,II,9,7480536,Orange wins Historic Territory#Winning bid is 3#
172,Orange,Vast Territory,4,2020-08-12 14:16:55,I,6,7480536,Orange wins Vast Territory#Winning bid is 4#
173,Grey,Vast Territory,5,2020-08-19 08:33:58,III,15,7480677,Grey wins Vast Territory#Winning bid is 5#
174,Purple,Developed Territory,9,2020-08-18 20:57:10,III,15,7480677,Purple wins Developed Territory#Winning bid is 9#
175,Green,Developed Territory,5,2020-08-18 08:23:45,II,11,7480677,Green wins Developed Territory#Winning bid is 5#
176,Green,Wealthy Territory,3,2020-08-17 14:52:07,II,8,7480677,Green wins Wealthy Territory#Winning bid is 3#
177,Orange,Historic Territory,2,2020-08-17 13:45:47,I,7,7480677,Orange wins Historic Territory#Winning bid is 2#
178,Grey,Vast Territory,18,2020-08-24 15:32:03,IV,17,7480887,Grey wins Vast Territory#Winning bid is 18#
179,Orange,Strategic Territory,8,2020-08-24 14:16:45,IV,16,7480887,Orange wins Strategic Territory#Winning bid is 8#
180,Grey,Wealthy Territory,6,2020-08-24 11:41:55,III,14,7480887,Grey wins Wealthy Territory#Winning bid is 6#
181,Purple,Vast Territory,6,2020-08-22 10:17:21,II,10,7480887,Purple wins Vast Territory#Winning bid is 6#
182,Grey,Historic Territory,2,2020-08-21 09:45:02,II,9,7480887,Grey wins Historic Territory#Winning bid is 2#
183,Grey,Inhabited Territory,3,2020-08-20 14:50:55,I,6,7480887,Grey wins Inhabited Territory#Winning bid is 3#
184,Orange,Strategic Territory,8,2020-08-31 20:21:36,III,14,7481117,Orange wins Strategic Territory#Winning bid is 8#
185,Green,Wealthy Territory,9,2020-08-31 17:23:52,III,14,7481117,Green wins Wealthy Territory#Winning bid is 9#
186,Orange,Developed Territory,4,2020-08-27 20:33:10,II,10,7481117,Orange wins Developed Territory#Winning bid is 4#
187,Orange,Vast Territory,7,2020-08-26 16:10:19,II,8,7481117,Orange wins Vast Territory#Winning bid is 7#
188,Orange,Fertile Territory,10,2020-09-10 08:22:26,III,17,7481459,Orange wins Fertile Territory#Winning bid is 10#
189,Green,Inhabited Territory,7,2020-09-08 16:33:09,III,14,7481459,Green wins Inhabited Territory#Winning bid is 7#
190,Green,Developed Territory,1,2020-09-08 13:49:37,II,12,7481459,Green wins Developed Territory#Winning bid is 1#
191,Grey,Fertile Territory,5,2020-09-08 12:10:30,II,11,7481459,Grey wins Fertile Territory#Winning bid is 5#
192,Orange,Inhabited Territory,5,2020-09-05 10:42:14,II,9,7481459,Orange wins Inhabited Territory#Winning bid is 5#
193,Green,Strategic Territory,3,2020-09-02 15:24:52,I,5,7481459,Green wins Strategic Territory#Winning bid is 3#
194,Purple,Historic Territory,2,2020-09-02 14:30:14,I,4,7481459,Purple wins Historic Territory#Winning bid is 2#
195,Orange,Historic Territory,6,2020-09-14 09:55:34,III,15,7481844,Orange wins Historic Territory#Winning bid is 6#
196,Purple,Inhabited Territory,6,2020-09-14 09:08:24,III,14,7481844,Purple wins Inhabited Territory#Winning bid is 6#
197,Grey,Inhabited Territory,3,2020-09-13 22:17:08,II,11,7481844,Grey wins Inhabited Territory#Winning bid is 3#
198,Grey,Historic Territory,3,2020-09-13 22:06:57,II,11,7481844,Grey wins Historic Territory#Winning bid is 3#
199,Orange,Developed Territory,2,2020-09-13 21:33:25,II,11,7481844,Orange wins Developed Territory#Winning bid is 2#
200,Purple,Fertile Territory,4,2020-09-11 22:25:11,I,7,7481844,Purple wins Fertile Territory#Winning bid is 4#
201,Green,Inhabited Territory,5,2020-09-21 11:22:05,III,14,7482019,Green wins Inhabited Territory#Winning bid is 5#
202,Green,Inhabited Territory,7,2020-09-21 09:30:12,III,13,7482019,Green wins Inhabited Territory#Winning bid is 7#
203,Purple,Strategic Territory,5,2020-09-17 09:10:00,II,9,7482019,Purple wins Strategic Territory#Winning bid is 5#
204,Purple,Developed Territory,6,2020-10-05 13:31:22,III,18,7482338,Purple wins Developed Territory#Winning bid is 6#
205,Purple,Historic Territory,5,2020-10-02 18:50:26,III,16,7482338,Purple wins Historic Territory#Winning bid is 5#
206,Orange,Wealthy Territory,4,2020-10-01 08:34:42,II,13,7482338,Orange wins Wealthy Territory#Winning bid is 4#
207,Green,Historic Territory,3,2020-09-29 13:13:52,II,10,7482338,Green wins Historic Territory#Winning bid is 3#
208,Green,Wealthy Territory,3,2020-09-29 10:59:49,II,10,7482338,Green wins Wealthy Territory#Winning bid is 3#
209,Green,Developed Territory,4,2020-09-29 10:26:28,II,9,7482338,Green wins Developed Territory#Winning bid is 4#
210,Grey,Strategic Territory,4,2020-09-26 00:06:08,I,6,7482338,Grey wins Strategic Territory#Winning bid is 4#
211,Grey,Fertile Territory,12,2020-10-15 17:38:44,IV,19,7482908,Grey wins Fertile Territory#Winning bid is 12#
212,Green,Wealthy Territory,7,2020-10-13 21:21:33,III,14,7482908,Green wins Wealthy Territory#Winning bid is 7#
213,Green,Inhabited Territory,7,2020-10-12 13:11:50,II,11,7482908,Green wins Inhabited Territory#Winning bid is 7#
