,player,territory,bid,time,age,round,game_id,text
0,Orange,Fertile Territory,6,2020-03-28 18:15:59,III,17,7472433,Orange wins Fertile Territory#Winning bid is 6#
1,Grey,Developed Territory,8,2020-03-28 18:09:35,III,16,7472433,Grey wins Developed Territory#Winning bid is 8#
2,Purple,Strategic Territory,4,2020-03-28 16:58:02,III,16,7472433,Purple wins Strategic Territory#Winning bid is 4#
3,Green,Historic Territory,11,2020-03-28 16:44:08,III,15,7472433,Green wins Historic Territory#Winning bid is 11#
4,Orange,Inhabited Territory,8,2020-03-28 16:19:55,II,14,7472433,Orange wins Inhabited Territory#Winning bid is 8#
5,Orange,Wealthy Territory,2,2020-03-28 14:31:24,I,7,7472433,Orange wins Wealthy Territory#Winning bid is 2#
6,Grey,Historic Territory,2,2020-03-28 14:15:10,I,6,7472433,Grey wins Historic Territory#Winning bid is 2#
7,Purple,Developed Territory,3,2020-03-28 13:54:12,I,5,7472433,Purple wins Developed Territory#Winning bid is 3#
8,Orange,Strategic Territory,3,2020-03-28 13:46:21,I,5,7472433,Orange wins Strategic Territory#Winning bid is 3#
9,Green,Wealthy Territory,11,2020-04-09 10:33:10,IV,20,7472434,Green wins Wealthy Territory#Winning bid is 11#
10,Green,Fertile Territory,7,2020-04-08 19:56:15,III,17,7472434,Green wins Fertile Territory#Winning bid is 7#
11,Orange,Strategic Territory,7,2020-04-08 17:18:29,III,17,7472434,Orange wins Strategic Territory#Winning bid is 7#
12,Green,Inhabited Territory,7,2020-04-08 10:26:18,III,15,7472434,Green wins Inhabited Territory#Winning bid is 7#
13,Green,Strategic Territory,7,2020-04-07 16:30:30,II,14,7472434,Green wins Strategic Territory#Winning bid is 7#
14,Orange,Fertile Territory,6,2020-04-07 10:41:37,II,11,7472434,Orange wins Fertile Territory#Winning bid is 6#
15,Green,Wealthy Territory,6,2020-04-06 21:06:02,II,8,7472434,Green wins Wealthy Territory#Winning bid is 6#
16,Purple,Historic Territory,4,2020-04-06 20:06:17,II,8,7472434,Purple wins Historic Territory#Winning bid is 4#
17,Green,Inhabited Territory,9,2020-04-09 15:24:07,III,16,7473200,Green wins Inhabited Territory#Winning bid is 9#
18,Green,Strategic Territory,5,2020-04-09 11:03:11,III,14,7473200,Green wins Strategic Territory#Winning bid is 5#
19,Grey,Fertile Territory,7,2020-04-09 10:18:01,III,13,7473200,Grey wins Fertile Territory#Winning bid is 7#
20,Grey,Wealthy Territory,8,2020-04-08 19:56:27,II,12,7473200,Grey wins Wealthy Territory#Winning bid is 8#
21,Green,Developed Territory,2,2020-04-07 21:47:22,I,7,7473200,Green wins Developed Territory#Winning bid is 2#
22,Grey,Strategic Territory,3,2020-04-07 16:31:01,I,6,7473200,Grey wins Strategic Territory#Winning bid is 3#
23,Green,Inhabited Territory,18,2020-04-14 18:04:12,IV,19,7473404,Green wins Inhabited Territory#Winning bid is 18#
24,Grey,Wealthy Territory,9,2020-04-13 20:14:33,III,16,7473404,Grey wins Wealthy Territory#Winning bid is 9#
25,Orange,Developed Territory,4,2020-04-13 12:08:14,II,12,7473404,Orange wins Developed Territory#Winning bid is 4#
26,Grey,Vast Territory,6,2020-04-13 09:11:04,II,10,7473404,Grey wins Vast Territory#Winning bid is 6#
27,Purple,Wealthy Territory,4,2020-04-11 13:10:02,I,7,7473404,Purple wins Wealthy Territory#Winning bid is 4#
28,Green,Historic Territory,3,2020-04-10 14:30:52,I,6,7473404,Green wins Historic Territory#Winning bid is 3#
29,Grey,Strategic Territory,3,2020-04-10 13:21:47,I,6,7473404,Grey wins Strategic Territory#Winning bid is 3#
30,Purple,Strategic Territory,10,2020-04-22 11:58:12,III,17,7473814,Purple wins Strategic Territory#Winning bid is 10#
31,Grey,Wealthy Territory,11,2020-04-22 11:08:57,III,17,7473814,Grey wins Wealthy Territory#Winning bid is 11#
32,Green,Historic Territory,13,2020-04-21 22:16:40,III,16,7473814,Green wins Historic Territory#Winning bid is 13#
33,Purple,Developed Territory,10,2020-04-21 12:37:31,III,15,7473814,Purple wins Developed Territory#Winning bid is 10#
34,Green,Inhabited Territory,8,2020-04-20 22:29:36,II,13,7473814,Green wins Inhabited Territory#Winning bid is 8#
35,Purple,Wealthy Territory,10,2020-04-20 16:40:18,II,12,7473814,Purple wins Wealthy Territory#Winning bid is 10#
36,Orange,Vast Territory,7,2020-04-19 15:14:36,II,11,7473814,Orange wins Vast Territory#Winning bid is 7#
37,Purple,Historic Territory,4,2020-04-16 20:03:49,I,6,7473814,Purple wins Historic Territory#Winning bid is 4#
38,Green,Vast Territory,15,2020-04-29 16:33:16,IV,18,7474472,Green wins Vast Territory#Winning bid is 15#
39,Grey,Inhabited Territory,11,2020-04-29 10:29:57,III,16,7474472,Grey wins Inhabited Territory#Winning bid is 11#
40,Purple,Historic Territory,11,2020-04-28 10:10:01,III,13,7474472,Purple wins Historic Territory#Winning bid is 11#
41,Orange,Wealthy Territory,7,2020-04-27 16:46:04,II,12,7474472,Orange wins Wealthy Territory#Winning bid is 7#
42,Green,Strategic Territory,6,2020-04-27 16:13:03,II,12,7474472,Green wins Strategic Territory#Winning bid is 6#
43,Orange,Inhabited Territory,7,2020-04-27 15:41:59,II,12,7474472,Orange wins Inhabited Territory#Winning bid is 7#
44,Grey,Developed Territory,6,2020-04-27 13:54:29,II,11,7474472,Grey wins Developed Territory#Winning bid is 6#
45,Grey,Vast Territory,6,2020-04-26 18:09:57,II,8,7474472,Grey wins Vast Territory#Winning bid is 6#
46,Purple,Historic Territory,3,2020-04-24 16:03:00,I,5,7474472,Purple wins Historic Territory#Winning bid is 3#
47,Grey,Wealthy Territory,6,2020-05-03 22:02:52,III,14,7474996,Grey wins Wealthy Territory#Winning bid is 6#
48,Orange,Vast Territory,3,2020-05-03 14:04:52,III,13,7474996,Orange wins Vast Territory#Winning bid is 3#
49,Grey,Strategic Territory,3,2020-05-01 14:11:04,II,8,7474996,Grey wins Strategic Territory#Winning bid is 3#
50,Green,Historic Territory,2,2020-05-01 10:20:19,I,7,7474996,Green wins Historic Territory#Winning bid is 2#
51,Purple,Developed Territory,3,2020-04-30 18:19:22,I,6,7474996,Purple wins Developed Territory#Winning bid is 3#
52,Orange,Wealthy Territory,7,2020-05-16 12:43:11,III,16,7475368,Orange wins Wealthy Territory#Winning bid is 7#
53,Grey,Developed Territory,4,2020-05-15 11:22:33,III,13,7475368,Grey wins Developed Territory#Winning bid is 4#
54,Grey,Wealthy Territory,4,2020-05-15 10:20:45,II,12,7475368,Grey wins Wealthy Territory#Winning bid is 4#
55,Orange,Inhabited Territory,5,2020-05-14 19:45:36,II,12,7475368,Orange wins Inhabited Territory#Winning bid is 5#
56,Orange,Strategic Territory,5,2020-05-13 21:05:41,II,9,7475368,Orange wins Strategic Territory#Winning bid is 5#
57,Grey,Historic Territory,2,2020-05-12 15:36:26,I,6,7475368,Grey wins Historic Territory#Winning bid is 2#
58,Grey,Inhabited Territory,11,2020-05-11 16:21:01,III,16,7475369,Grey wins Inhabited Territory#Winning bid is 11#
59,Orange,Strategic Territory,7,2020-05-11 11:07:34,III,13,7475369,Orange wins Strategic Territory#Winning bid is 7#
60,Orange,Historic Territory,3,2020-05-11 07:12:55,II,11,7475369,Orange wins Historic Territory#Winning bid is 3#
61,Green,Wealthy Territory,3,2020-05-08 19:36:57,I,7,7475369,Green wins Wealthy Territory#Winning bid is 3#
62,Orange,Wealthy Territory,11,2020-05-27 10:12:09,III,16,7476107,Orange wins Wealthy Territory#Winning bid is 11#
63,Purple,Historic Territory,7,2020-05-25 22:48:31,III,15,7476107,Purple wins Historic Territory#Winning bid is 7#
64,Green,Historic Territory,3,2020-05-21 23:13:57,II,12,7476107,Green wins Historic Territory#Winning bid is 3#
65,Purple,Vast Territory,5,2020-05-21 09:18:58,II,10,7476107,Purple wins Vast Territory#Winning bid is 5#
66,Orange,Developed Territory,5,2020-05-20 10:34:17,II,9,7476107,Orange wins Developed Territory#Winning bid is 5#
67,Orange,Strategic Territory,2,2020-05-18 15:37:59,I,5,7476107,Orange wins Strategic Territory#Winning bid is 2#
68,Purple,Inhabited Territory,3,2020-05-18 09:19:50,I,5,7476107,Purple wins Inhabited Territory#Winning bid is 3#
69,Purple,Strategic Territory,10,2020-05-29 16:17:15,III,17,7476793,Purple wins Strategic Territory#Winning bid is 10#
70,Purple,Vast Territory,6,2020-05-29 15:59:22,III,17,7476793,Purple wins Vast Territory#Winning bid is 6#
71,Purple,Wealthy Territory,9,2020-05-29 11:56:50,II,12,7476793,Purple wins Wealthy Territory#Winning bid is 9#
72,Orange,Vast Territory,9,2020-05-29 10:53:49,II,10,7476793,Orange wins Vast Territory#Winning bid is 9#
73,Purple,Developed Territory,3,2020-05-27 22:03:16,I,5,7476793,Purple wins Developed Territory#Winning bid is 3#
74,Green,Vast Territory,6,2020-06-02 16:08:08,III,16,7476918,Green wins Vast Territory#Winning bid is 6#
75,Green,Inhabited Territory,5,2020-06-02 10:28:12,III,14,7476918,Green wins Inhabited Territory#Winning bid is 5#
76,Green,Historic Territory,5,2020-06-02 09:21:33,III,13,7476918,Green wins Historic Territory#Winning bid is 5#
77,Green,Vast Territory,5,2020-06-02 08:08:21,III,13,7476918,Green wins Vast Territory#Winning bid is 5#
78,Orange,Wealthy Territory,5,2020-06-01 15:15:01,II,11,7476918,Orange wins Wealthy Territory#Winning bid is 5#
79,Green,Developed Territory,2,2020-05-30 13:00:52,I,6,7476918,Green wins Developed Territory#Winning bid is 2#
80,Orange,Developed Territory,6,2020-06-04 16:07:06,III,17,7477184,Orange wins Developed Territory#Winning bid is 6#
81,Orange,Strategic Territory,12,2020-06-04 15:41:09,III,17,7477184,Orange wins Strategic Territory#Winning bid is 12#
82,Green,Inhabited Territory,7,2020-06-04 11:41:56,III,16,7477184,Green wins Inhabited Territory#Winning bid is 7#
83,Grey,Historic Territory,13,2020-06-04 11:30:40,III,15,7477184,Grey wins Historic Territory#Winning bid is 13#
84,Green,Vast Territory,5,2020-06-03 18:00:00,II,10,7477184,Green wins Vast Territory#Winning bid is 5#
85,Green,Historic Territory,5,2020-06-03 17:07:33,II,9,7477184,Green wins Historic Territory#Winning bid is 5#
86,Green,Strategic Territory,4,2020-06-03 15:23:29,I,7,7477184,Green wins Strategic Territory#Winning bid is 4#
87,Green,Developed Territory,4,2020-06-03 15:10:55,I,6,7477184,Green wins Developed Territory#Winning bid is 4#
88,Orange,Inhabited Territory,2,2020-06-03 14:16:12,I,4,7477184,Orange wins Inhabited Territory#Winning bid is 2#
89,Grey,Historic Territory,6,2020-06-08 16:32:10,II,12,7477255,Grey wins Historic Territory#Winning bid is 6#
90,Grey,Vast Territory,6,2020-06-08 15:01:44,II,11,7477255,Grey wins Vast Territory#Winning bid is 6#
91,Orange,Wealthy Territory,6,2020-06-08 13:43:44,II,11,7477255,Orange wins Wealthy Territory#Winning bid is 6#
92,Grey,Inhabited Territory,6,2020-06-08 12:18:47,II,11,7477255,Grey wins Inhabited Territory#Winning bid is 6#
93,Orange,Developed Territory,9,2020-06-15 12:39:53,III,17,7477545,Orange wins Developed Territory#Winning bid is 9#
94,Green,Inhabited Territory,7,2020-06-13 22:39:32,III,13,7477545,Green wins Inhabited Territory#Winning bid is 7#
95,Purple,Strategic Territory,5,2020-06-11 18:20:27,II,10,7477545,Purple wins Strategic Territory#Winning bid is 5#
96,Orange,Historic Territory,2,2020-06-11 09:45:46,II,8,7477545,Orange wins Historic Territory#Winning bid is 2#
97,Purple,Historic Territory,9,2020-06-17 09:27:55,III,16,7477831,Purple wins Historic Territory#Winning bid is 9#
98,Green,Vast Territory,10,2020-06-16 21:11:50,III,15,7477831,Green wins Vast Territory#Winning bid is 10#
99,Orange,Developed Territory,7,2020-06-16 19:41:25,III,14,7477831,Orange wins Developed Territory#Winning bid is 7#
100,Orange,Wealthy Territory,5,2020-06-16 14:56:24,II,10,7477831,Orange wins Wealthy Territory#Winning bid is 5#
