,player,response,time,age,round,game_id,text
92,Green,accepts,2020-10-15 12:13:55,III,18,7482908,Green accepts pact offer##
93,Orange,declines,2020-10-12 12:13:41,II,10,7482908,Orange declines offer##
94,Orange,accepts,2020-10-11 13:48:39,II,9,7482908,Orange accepts pact offer##
95,Orange,accepts,2020-10-10 13:14:31,II,7,7482908,Orange accepts pact offer##
96,Grey,declines,2020-10-31 08:42:08,III,19,7483387,Grey declines offer##
97,Green,declines,2020-10-28 21:03:35,II,14,7483387,Green declines offer##
98,Purple,accepts,2020-10-28 14:22:18,II,12,7483387,Purple accepts pact offer##
99,Orange,accepts,2020-11-16 16:28:17,III,17,7484166,Orange accepts pact offer#Military Pact is cancelled#
100,Purple,accepts,2020-11-16 09:20:12,III,15,7484166,Purple accepts pact offer#International Trade Agreement is cancelled#
101,Green,accepts,2020-11-13 11:37:09,II,11,7484166,Green accepts pact offer##
102,Purple,declines,2020-11-09 14:12:49,I,5,7484166,Purple declines offer##
103,Orange,declines,2020-11-30 11:09:30,III,16,7484894,Orange declines offer##
104,Orange,accepts,2020-12-20 10:59:34,III,16,7485891,Orange accepts pact offer##
105,Grey,accepts,2020-12-17 21:08:52,II,13,7485891,Grey accepts pact offer##
106,Green,accepts,2020-12-11 11:25:43,I,7,7485891,Green accepts pact offer##
107,Green,accepts,2021-01-05 10:53:21,III,16,7486444,Green accepts pact offer##
108,Grey,accepts,2021-01-04 20:04:32,III,15,7486444,Grey accepts pact offer##
109,Purple,accepts,2021-01-01 12:33:26,II,9,7486444,Purple accepts pact offer##
110,Green,accepts,2020-12-24 10:42:12,I,4,7486444,Green accepts pact offer##
111,Purple,accepts,2021-01-30 18:04:35,III,19,7487030,Purple accepts pact offer##
112,Green,accepts,2021-01-29 16:53:51,III,16,7487030,Green accepts pact offer##
113,Green,accepts,2021-01-13 13:26:13,I,5,7487030,Green accepts pact offer##
114,Green,accepts,2021-02-16 18:04:42,III,18,7488202,Green accepts pact offer##
115,Purple,accepts,2021-02-16 06:32:14,III,15,7488202,Purple accepts pact offer##
116,Orange,accepts,2021-02-13 14:25:21,III,15,7488202,Orange accepts pact offer#International Trade Agreement is cancelled#
117,Purple,accepts,2021-02-11 10:55:41,II,13,7488202,Purple accepts pact offer##
118,Green,accepts,2021-03-02 10:49:06,III,15,7488850,Green accepts pact offer##
119,Grey,accepts,2021-02-27 12:16:06,II,11,7488850,Grey accepts pact offer##
120,Grey,accepts,2021-02-21 10:17:21,I,5,7488850,Grey accepts pact offer##
121,Green,accepts,2021-03-11 11:41:56,III,15,7489429,Green accepts pact offer##
122,Orange,accepts,2021-03-16 07:00:57,III,15,7489723,Orange accepts pact offer##
123,Grey,accepts,2021-03-15 14:47:06,III,13,7489723,Grey accepts pact offer##
124,Grey,accepts,2021-03-14 18:23:58,II,8,7489723,Grey accepts pact offer##
125,Green,declines,2021-03-27 18:40:55,III,16,7489957,Green declines offer##
126,Orange,accepts,2021-03-27 11:21:02,III,15,7489957,Orange accepts pact offer##
127,Green,accepts,2021-03-25 20:51:36,II,12,7489957,Green accepts pact offer##
128,Green,accepts,2021-03-28 21:14:40,III,15,7490325,Green accepts pact offer##
129,Purple,accepts,2021-03-28 19:52:05,II,9,7490325,Purple accepts pact offer##
130,Green,accepts,2021-03-28 18:44:08,I,3,7490325,Green accepts pact offer##
131,Purple,accepts,2021-03-28 18:36:39,I,3,7490325,Purple accepts pact offer##
132,Grey,accepts,2021-04-06 09:30:45,IV,17,7490386,Grey accepts pact offer##
133,Orange,accepts,2021-04-05 20:45:40,III,15,7490386,Orange accepts pact offer##
134,Purple,accepts,2021-04-02 15:48:46,II,11,7490386,Purple accepts pact offer##
135,Orange,accepts,2021-04-17 20:33:49,IV,16,7490649,Orange accepts pact offer##
136,Orange,accepts,2021-04-12 09:34:28,II,8,7490649,Orange accepts pact offer##
137,Orange,declines,2021-04-10 21:19:16,II,7,7490649,Orange declines offer##
138,Grey,accepts,2021-04-09 19:48:54,I,6,7490649,Grey accepts pact offer##
139,Grey,accepts,2021-05-18 08:01:32,II,12,7491505,Grey accepts pact offer##
140,Green,accepts,2021-06-04 09:39:57,IV,18,7492262,Green accepts pact offer##
141,Green,declines,2021-06-03 15:17:53,III,16,7492262,Green declines offer##
142,Grey,accepts,2021-06-03 13:00:34,III,15,7492262,Grey accepts pact offer##
143,Orange,accepts,2021-06-14 11:41:49,III,12,7492705,Orange accepts pact offer##
144,Orange,accepts,2021-06-09 11:06:19,II,7,7492705,Orange accepts pact offer##
145,Purple,accepts,2021-06-25 14:02:26,III,13,7493040,Purple accepts pact offer##
146,Orange,declines,2021-06-21 21:18:07,I,6,7493040,Orange declines offer##
